from_code,to_code,from_name,to_name,fare,total_travel_time,total_stations,line,towards_station,platform,first_train_time,last_train_time
S55,AIT,SECTOR 55-56,SECTOR-54 CHOWK,20,0:01:49,2,RMGL,PHASE-3,Platform No. 2,14:33:20,14:35:09
S55,S53,SECTOR 55-56,SECTOR-53-54,20,0:04:07,3,RMGL,PHASE-3,Platform No. 2,14:33:20,14:37:27
S55,SUL,SECTOR 55-56,SECTOR-42-43,20,0:06:09,4,RMGL,PHASE-3,Platform No. 2,14:40:40,14:46:49
S55,PH1,SECTOR 55-56,PHASE-1,20,0:08:29,5,RMGL,PHASE-3,Platform No. 2,14:40:40,14:49:09
S55,SKRP,SECTOR 55-56,SIKANDERPUR,31,0:10:41,6,RMGL,PHASE-3,Platform No. 2,14:40:40,14:51:21
S55,DL2,SECTOR 55-56,PHASE-2,20,0:12:28,7,RMGL,PHASE-3,Platform No. 2,14:40:40,14:53:08
S55,BEL,SECTOR 55-56,BELVEDERE TOWERS,35,0:13:59,8,RMGL,PHASE-3,Platform No. 2,14:40:40,14:54:39
S55,GAT,SECTOR 55-56,CYBER CITY,35,0:15:51,9,RMGL,PHASE-3,Platform No. 2,14:40:40,14:56:31
S55,MAL,SECTOR 55-56,MOULSARI AVENUE,35,0:17:32,10,RMGL,PHASE-3,Platform No. 2,14:40:40,14:58:12
S55,DL3,SECTOR 55-56,PHASE-3,35,0:19:31,11,RMGL,PHASE-3,Platform No. 2,14:40:40,15:00:11
AIT,S55,SECTOR-54 CHOWK,SECTOR 55-56,20,0:01:49,2,RMGL,SECTOR 55-56,Platform No. 1,14:35:44,14:37:09
AIT,S53,SECTOR-54 CHOWK,SECTOR-53-54,20,0:02:18,2,RMGL,PHASE-3,Platform No. 2,14:35:09,14:37:27
AIT,SUL,SECTOR-54 CHOWK,SECTOR-42-43,20,0:04:20,3,RMGL,PHASE-3,Platform No. 2,14:35:09,14:39:29
AIT,PH1,SECTOR-54 CHOWK,PHASE-1,20,0:06:40,4,RMGL,PHASE-3,Platform No. 2,14:35:09,14:41:49
AIT,SKRP,SECTOR-54 CHOWK,SIKANDERPUR,31,0:08:52,5,RMGL,PHASE-3,Platform No. 2,14:35:09,14:44:01
AIT,DL2,SECTOR-54 CHOWK,PHASE-2,20,0:10:39,6,RMGL,PHASE-3,Platform No. 2,14:35:09,14:45:48
AIT,BEL,SECTOR-54 CHOWK,BELVEDERE TOWERS,35,0:12:10,7,RMGL,PHASE-3,Platform No. 2,14:35:09,14:47:19
AIT,GAT,SECTOR-54 CHOWK,CYBER CITY,35,0:14:02,8,RMGL,PHASE-3,Platform No. 2,14:35:09,14:49:11
AIT,MAL,SECTOR-54 CHOWK,MOULSARI AVENUE,35,0:15:43,9,RMGL,PHASE-3,Platform No. 2,14:35:09,14:50:52
AIT,DL3,SECTOR-54 CHOWK,PHASE-3,35,0:17:42,10,RMGL,PHASE-3,Platform No. 2,14:35:09,14:52:51
S53,S55,SECTOR-53-54,SECTOR 55-56,20,0:04:07,3,RMGL,SECTOR 55-56,Platform No. 1,14:40:45,14:44:29
S53,AIT,SECTOR-53-54,SECTOR-54 CHOWK,20,0:02:18,2,RMGL,SECTOR 55-56,Platform No. 1,14:40:45,14:43:04
S53,SUL,SECTOR-53-54,SECTOR-42-43,20,0:02:02,2,RMGL,PHASE-3,Platform No. 2,14:37:27,14:39:29
S53,PH1,SECTOR-53-54,PHASE-1,20,0:04:22,3,RMGL,PHASE-3,Platform No. 2,14:37:27,14:41:49
S53,SKRP,SECTOR-53-54,SIKANDERPUR,31,0:06:34,4,RMGL,PHASE-3,Platform No. 2,14:37:27,14:44:01
S53,DL2,SECTOR-53-54,PHASE-2,20,0:08:21,5,RMGL,PHASE-3,Platform No. 2,14:37:27,14:45:48
S53,BEL,SECTOR-53-54,BELVEDERE TOWERS,35,0:09:52,6,RMGL,PHASE-3,Platform No. 2,14:37:27,14:47:19
S53,GAT,SECTOR-53-54,CYBER CITY,35,0:11:44,7,RMGL,PHASE-3,Platform No. 2,14:37:27,14:49:11
S53,MAL,SECTOR-53-54,MOULSARI AVENUE,35,0:13:25,8,RMGL,PHASE-3,Platform No. 2,14:37:27,14:50:52
S53,DL3,SECTOR-53-54,PHASE-3,35,0:15:24,9,RMGL,PHASE-3,Platform No. 2,14:37:27,14:52:51
SUL,S55,SECTOR-42-43,SECTOR 55-56,20,0:06:09,4,RMGL,SECTOR 55-56,Platform No. 1,14:38:44,14:44:29
SUL,AIT,SECTOR-42-43,SECTOR-54 CHOWK,20,0:04:20,3,RMGL,SECTOR 55-56,Platform No. 1,14:38:44,14:43:04
SUL,S53,SECTOR-42-43,SECTOR-53-54,20,0:02:02,2,RMGL,SECTOR 55-56,Platform No. 1,14:38:44,14:40:45
SUL,PH1,SECTOR-42-43,PHASE-1,20,0:02:20,2,RMGL,PHASE-3,Platform No. 2,14:39:29,14:41:49
SUL,SKRP,SECTOR-42-43,SIKANDERPUR,31,0:04:32,3,RMGL,PHASE-3,Platform No. 2,14:39:29,14:44:01
SUL,DL2,SECTOR-42-43,PHASE-2,20,0:06:19,4,RMGL,PHASE-3,Platform No. 2,14:39:29,14:45:48
SUL,BEL,SECTOR-42-43,BELVEDERE TOWERS,20,0:07:50,5,RMGL,PHASE-3,Platform No. 2,14:39:29,14:47:19
SUL,GAT,SECTOR-42-43,CYBER CITY,20,0:09:42,6,RMGL,PHASE-3,Platform No. 2,14:39:29,14:49:11
SUL,MAL,SECTOR-42-43,MOULSARI AVENUE,20,0:11:23,7,RMGL,PHASE-3,Platform No. 2,14:39:29,14:50:52
SUL,DL3,SECTOR-42-43,PHASE-3,20,0:13:22,8,RMGL,PHASE-3,Platform No. 2,14:39:29,14:52:51
PH1,S55,PHASE-1,SECTOR 55-56,20,0:08:29,5,RMGL,SECTOR 55-56,Platform No. 1,14:36:24,14:44:29
PH1,AIT,PHASE-1,SECTOR-54 CHOWK,20,0:06:40,4,RMGL,SECTOR 55-56,Platform No. 1,14:36:24,14:43:04
PH1,S53,PHASE-1,SECTOR-53-54,20,0:04:22,3,RMGL,SECTOR 55-56,Platform No. 1,14:36:24,14:40:45
PH1,SUL,PHASE-1,SECTOR-42-43,20,0:02:20,2,RMGL,SECTOR 55-56,Platform No. 1,14:36:24,14:38:44
PH1,SKRP,PHASE-1,SIKANDERPUR,31,0:02:12,2,RMGL,PHASE-3,Platform No. 2,14:41:49,14:44:01
PH1,DL2,PHASE-1,PHASE-2,20,0:03:59,3,RMGL,PHASE-3,Platform No. 2,14:41:49,14:45:48
PH1,BEL,PHASE-1,BELVEDERE TOWERS,20,0:05:30,4,RMGL,PHASE-3,Platform No. 2,14:41:49,14:47:19
PH1,GAT,PHASE-1,CYBER CITY,20,0:07:22,5,RMGL,PHASE-3,Platform No. 2,14:41:49,14:49:11
PH1,MAL,PHASE-1,MOULSARI AVENUE,20,0:09:03,6,RMGL,PHASE-3,Platform No. 2,14:41:49,14:50:52
PH1,DL3,PHASE-1,PHASE-3,20,0:11:02,7,RMGL,PHASE-3,Platform No. 2,14:41:49,14:52:51
SKRP,S55,SIKANDERPUR,SECTOR 55-56,31,0:10:41,6,RMGL,SECTOR 55-56,Platform No. 1 (Rapid Metro),14:41:53,14:51:49
SKRP,AIT,SIKANDERPUR,SECTOR-54 CHOWK,31,0:08:52,5,RMGL,SECTOR 55-56,Platform No. 1 (Rapid Metro),14:41:53,14:50:24
SKRP,S53,SIKANDERPUR,SECTOR-53-54,31,0:06:34,4,RMGL,SECTOR 55-56,Platform No. 1 (Rapid Metro),14:41:53,14:48:05
SKRP,SUL,SIKANDERPUR,SECTOR-42-43,31,0:04:32,3,RMGL,SECTOR 55-56,Platform No. 1 (Rapid Metro),14:41:53,14:46:04
SKRP,PH1,SIKANDERPUR,PHASE-1,31,0:02:12,2,RMGL,SECTOR 55-56,Platform No. 1 (Rapid Metro),14:41:53,14:43:44
